1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
345	-0.817144	16.270156	2.147522	0.019254	2.2
346	-0.775179	16.998667	2.106350	0.022857	2.3
347	-0.803211	16.304478	2.145546	0.025666	2.5
348	-0.817619	17.302100	2.089663	0.015519	2.4
349	-0.788257	16.639431	2.126453	0.042176	2.2
350	-0.792581	15.881167	2.170172	0.018389	2.3
351	-0.780103	15.371880	2.200560	0.020894	2.3
352	-0.803136	16.176610	2.152926	0.024700	2.3
353	-0.757994	15.595512	2.187112	0.024294	2.3
354	-0.788796	14.844574	2.232932	0.037562	2.3
355	-0.757924	14.085569	2.281237	0.033961	2.4
356	-0.795836	13.326667	2.331671	0.029915	2.1
357	-0.782829	13.575460	2.314893	0.020912	2.3
358	-0.802152	12.871770	2.362985	0.032637	2.2
359	-0.802789	12.353032	2.399736	0.013626	2.2
360	-0.775189	11.794643	2.440596	0.021449	2.2
361	-0.803876	11.272867	2.480055	0.026771	2.3
362	-0.792763	11.074591	2.495386	0.029749	2.4
363	-0.813528	12.072057	2.420124	0.028275	2.3
364	-0.774177	11.314602	2.476852	0.019204	2.4
365	-0.817331	10.558859	2.536165	0.037703	2.2
366	-0.790522	9.969242	2.584451	0.032057	2.3
367	-0.780146	9.230741	2.647586	0.030944	2.3
368	-0.783897	8.490262	2.714065	0.021583	2.3
369	-0.795295	9.486199	2.625401	0.022557	2.3
370	-0.796695	10.139737	2.570301	0.023312	2.2
371	-0.800811	9.511562	2.623218	0.054810	2.2
372	-0.793987	8.752468	2.690146	0.048070	2.2
373	-0.770625	7.993344	2.760581	0.041216	2.3
374	-0.805210	7.748787	2.784065	0.018288	2.2
375	-0.782974	8.704894	2.694454	0.034283	2.2
376	-0.810264	9.259882	2.645036	0.023556	2.2
377	-0.807897	8.504597	2.712746	0.029438	2.5
378	-0.788230	9.501543	2.624080	0.050227	2.3
379	-0.785760	9.209272	2.649468	0.027131	2.3
380	-0.771470	9.898683	2.590353	0.014555	2.3
381	-0.808524	9.297004	2.641795	0.050425	2.2
382	-0.810550	8.594443	2.704511	0.028240	2.2
383	-0.772587	9.240036	2.646772	0.018370	2.1
384	-0.814696	9.006027	2.667414	0.025236	2.1
385	-0.788343	8.285349	2.733056	0.023449	2.1
386	-0.772512	9.282842	2.643031	0.016301	2.1
387	-0.762968	8.805061	2.685399	0.023410	2.4
388	-0.787394	9.510078	2.623346	0.056816	2.1
389	-0.826664	8.757178	2.689720	0.044890	2.0
390	-0.785258	7.998054	2.760133	0.038756	2.2
391	-0.818361	7.238930	2.834331	0.024324	1.8
392	-0.798113	6.479968	2.912612	0.041835	2.2
393	-0.812740	5.736258	2.993631	0.024146	2.1
394	-0.804903	6.733780	2.885957	0.035411	2.3
395	-0.774220	7.733679	2.785529	0.045014	2.2
396	-0.761902	8.733677	2.691846	0.024308	2.2
397	-0.791599	8.019096	2.758132	0.033225	2.3
398	-0.810365	9.003431	2.667644	0.016944	2.1
399	-0.810703	9.113702	2.657876	0.020530	2.4
400	-0.799524	9.280218	2.643260	0.029314	2.2
401	-0.785259	10.167623	2.568001	0.020325	2.2
402	-0.768336	9.431051	2.630158	0.039746	2.3
403	-0.811640	8.671987	2.697443	0.048361	2.3
404	-0.802455	7.912863	2.768266	0.016104	2.3
405	-0.774244	8.885458	2.678175	0.046448	2.4
406	-0.774112	9.877758	2.592108	0.029741	2.2
407	-0.793434	9.118738	2.657432	0.034463	2.2
408	-0.798551	8.361950	2.725925	0.049814	2.2
409	-0.782595	9.361849	2.636153	0.025301	2.2
410	-0.836392	8.602725	2.703754	0.031160	2.2
411	-0.797866	9.602661	2.615409	0.044467	2.2
412	-0.805125	10.601075	2.532777	0.041339	2.3
413	-0.790818	11.600834	2.455105	0.030215	2.3
414	-0.802428	10.841710	2.513637	0.032261	2.7
415	-0.787584	10.086556	2.574698	0.033278	2.3
416	-0.766215	9.333629	2.638606	0.033280	2.3
417	-0.821843	9.263559	2.644715	0.012545	2.5
418	-0.825030	8.726738	2.692475	0.032498	2.9
419	-0.770926	7.974813	2.762347	0.024265	3.0
420	-0.796737	8.530334	2.710382	0.020822	2.5
421	-0.769949	9.449585	2.628558	0.044726	2.2
422	-0.748049	8.690490	2.695762	0.031737	2.6
423	-0.809965	9.645941	2.611716	0.073123	2.6
424	-0.803594	8.905755	2.676357	0.022126	2.3
425	-0.848554	9.905747	2.589761	0.034916	2.6
426	-0.813521	10.529414	2.538534	0.045135	2.4
427	-0.831647	9.770290	2.601161	0.039972	2.3
428	-0.793055	10.768477	2.519431	0.033132	2.2
429	-0.819929	11.624316	2.453338	0.042687	2.4
430	-0.845680	11.049878	2.497310	0.029485	2.3
431	-0.792725	10.290830	2.557889	0.038845	2.3
432	-0.786169	9.531783	2.621481	0.052394	2.5
433	-0.797133	8.772685	2.688319	0.028126	2.4
434	-0.825780	8.013569	2.758657	0.019555	2.3
435	-0.813093	7.364162	2.821817	0.034998	2.3
436	-0.832472	8.245560	2.736774	0.034315	2.2
437	-0.816672	9.225187	2.648072	0.030932	2.8
438	-0.807222	8.473543	2.715604	0.028885	2.1
439	-0.808948	9.306792	2.640942	0.018559	2.3
440	-0.821629	8.595986	2.704370	0.014394	2.1
441	-0.817421	8.229202	2.738306	0.019269	2.2
442	-0.810820	8.293019	2.732340	0.046160	1.9
443	-0.806029	7.534177	2.805004	0.020785	1.9
444	-0.766961	6.778614	2.881299	0.042567	2.0
445	-0.839584	6.019868	2.962209	0.060135	1.9
446	-0.817521	7.019868	2.856490	0.051598	1.9
447	-0.801698	8.019868	2.758058	0.041041	2.0
448	-0.812379	9.019865	2.666184	0.042889	2.4
