1:ItNr	2:Metric	2:Metric0	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient||	Time0[ms]	Time[ms]
400	-0.996372	-0.996372	1.422441	1130.278194	0.000391	0.000391	1.1	151.5
401	-0.996021	-0.996021	1.502733	1126.245252	0.000671	0.000671	1.1	151.8
402	-0.996986	-0.996986	1.315030	1135.718669	0.000237	0.000237	1.5	152.1
403	-0.997079	-0.997079	1.841879	1109.523284	0.000219	0.000219	1.1	151.2
404	-0.995976	-0.995976	1.748786	1114.063672	0.000263	0.000263	1.1	150.6
405	-0.996707	-0.996707	1.743632	1114.316174	0.000318	0.000318	1.1	151.7
406	-0.997412	-0.997412	1.773241	1112.867381	0.000229	0.000229	1.0	150.8
407	-0.997110	-0.997110	1.876724	1107.833307	0.000169	0.000169	1.1	151.3
408	-0.997182	-0.997182	1.864913	1108.405555	0.000166	0.000166	1.1	151.7
409	-0.996899	-0.996899	1.811951	1110.978927	0.000242	0.000242	1.1	152.8
410	-0.996947	-0.996947	1.809088	1111.118386	0.000276	0.000276	1.1	150.6
411	-0.996015	-0.996015	1.752082	1113.902319	0.000416	0.000416	1.2	150.5
412	-0.995576	-0.995576	1.727697	1115.097441	0.000243	0.000243	1.2	150.3
413	-0.996710	-0.996710	1.755534	1113.733319	0.000432	0.000432	1.2	149.9
414	-0.997809	-0.997809	1.686804	1117.107390	0.000178	0.000178	1.2	151.6
415	-0.997024	-0.997024	1.679982	1117.443434	0.000311	0.000311	1.0	150.1
416	-0.997307	-0.997307	1.593927	1121.699497	0.000225	0.000225	1.1	152.8
417	-0.997063	-0.997063	1.592113	1121.789585	0.000243	0.000243	1.1	150.6
418	-0.997365	-0.997365	1.583744	1122.205286	0.000186	0.000186	1.1	151.9
419	-0.997500	-0.997500	1.578108	1122.485409	0.000296	0.000296	1.0	150.8
420	-0.996799	-0.996799	1.574997	1122.640081	0.000346	0.000346	1.1	150.6
421	-0.996636	-0.996636	1.371715	1132.841041	0.000311	0.000311	1.2	150.9
422	-0.997216	-0.997216	1.577723	1122.504528	0.000394	0.000394	1.1	151.9
423	-0.997518	-0.997518	1.574681	1122.655824	0.000190	0.000190	1.1	151.5
424	-0.996771	-0.996771	1.452699	1128.755015	0.000329	0.000329	1.0	150.1
425	-0.997087	-0.997087	1.605240	1121.138116	0.000219	0.000219	1.1	149.9
426	-0.997789	-0.997789	1.553863	1123.692059	0.000156	0.000156	1.1	150.7
427	-0.997961	-0.997961	1.550425	1123.863364	0.000163	0.000163	1.1	151.5
428	-0.997277	-0.997277	1.532143	1124.775231	0.000347	0.000347	1.1	150.3
429	-0.998137	-0.998137	1.517346	1125.514389	0.000149	0.000149	1.1	152.7
430	-0.997245	-0.997245	1.517348	1125.514280	0.000166	0.000166	1.1	150.7
431	-0.996929	-0.996929	1.504769	1126.143399	0.000268	0.000268	1.1	149.9
432	-0.996759	-0.996759	1.415188	1130.643937	0.000419	0.000419	1.1	151.7
433	-0.997790	-0.997790	1.346300	1134.129449	0.000152	0.000152	1.1	150.0
434	-0.996972	-0.996972	1.307799	1136.086824	0.000369	0.000369	1.1	150.5
435	-0.997504	-0.997504	1.487116	1127.027423	0.000245	0.000245	1.6	152.4
436	-0.997162	-0.997162	1.290978	1136.944110	0.000235	0.000235	1.1	152.7
437	-0.996205	-0.996205	1.408707	1130.970943	0.000357	0.000357	1.1	150.4
438	-0.996486	-0.996486	1.675257	1117.676275	0.000631	0.000631	1.1	153.5
439	-0.997376	-0.997376	1.993850	1102.190218	0.000175	0.000175	1.0	150.8
440	-0.997585	-0.997585	1.886336	1107.368014	0.000446	0.000446	1.1	151.8
441	-0.997979	-0.997979	1.970552	1103.308129	0.000166	0.000166	1.1	150.9
442	-0.997207	-0.997207	1.936442	1104.948887	0.000344	0.000344	1.1	152.1
443	-0.997075	-0.997075	1.915691	1105.949461	0.000282	0.000282	1.1	149.4
444	-0.997609	-0.997609	2.178766	1093.397161	0.000216	0.000216	1.1	150.4
445	-0.997842	-0.997842	2.092242	1097.493965	0.000223	0.000223	1.1	152.5
446	-0.997488	-0.997488	2.069277	1098.586521	0.000239	0.000239	1.0	150.4
447	-0.997566	-0.997566	2.121955	1096.083663	0.000201	0.000201	1.1	150.4
448	-0.996317	-0.996317	2.158790	1094.340271	0.000389	0.000389	1.1	151.3
449	-0.997661	-0.997661	2.214745	1091.702539	0.000137	0.000137	1.1	153.8
450	-0.997078	-0.997078	2.231786	1090.901761	0.000256	0.000256	1.1	150.5
